Probe,Span,Theta (radians),Pressure (kPa)
1,1,0,0.943
2,1,0.785398163,0.944
3,1,1.570796327,0.938
4,1,2.35619449,0.942
5,1,3.141592654,0.945
6,1,3.926990817,0.946
7,1,4.71238898,0.947
8,1,5.497787144,0.938
9,2,0,0.972
10,2,0.785398163,0.955
11,2,1.570796327,0.982
12,2,2.35619449,0.967
13,2,3.141592654,0.957
14,2,3.926990817,0.968
15,2,4.71238898,0.959
16,2,5.497787144,0.941
17,3,0,1.023
18,3,0.785398163,1.013
19,3,1.570796327,1.017
20,3,2.35619449,1.011
21,3,3.141592654,1.021
22,3,3.926990817,1.003
23,3,4.71238898,1.02
24,3,5.497787144,1.007
25,4,0,1.058
26,4,0.785398163,1.038
27,4,1.570796327,1.053
28,4,2.35619449,1.045
29,4,3.141592654,1.048
30,4,3.926990817,1.05
31,4,4.71238898,1.063
32,4,5.497787144,1.051
33,5,0,1.031
34,5,0.785398163,1.026
35,5,1.570796327,1.03
36,5,2.35619449,1.02
37,5,3.141592654,1.019
38,5,3.926990817,1.043
39,5,4.71238898,1.032
40,5,5.497787144,1.035
