Probe,Span,Theta (radians),Pressure (kPa)
1,1,0,1.06
2,1,0.523598776,0.911
3,1,1.047197551,0.911
4,1,1.570796327,1.056
5,1,2.094395102,1.056
6,1,2.617993878,1.056
7,1,3.141592654,1.057
8,1,3.665191429,0.905
9,1,4.188790205,0.905
10,1,4.71238898,1.055
11,1,5.235987756,1.055
12,1,5.759586532,1.06
13,2,0,1.073
14,2,0.523598776,0.9
15,2,1.047197551,0.9
16,2,1.570796327,1.062
17,2,2.094395102,1.062
18,2,2.617993878,1.062
19,2,3.141592654,1.058
20,2,3.665191429,0.903
21,2,4.188790205,0.903
22,2,4.71238898,1.056
23,2,5.235987756,1.056
24,2,5.759586532,1.073
25,3,0,1.06
26,3,0.523598776,0.911
27,3,1.047197551,0.911
28,3,1.570796327,1.057
29,3,2.094395102,1.057
30,3,2.617993878,1.057
31,3,3.141592654,1.054
32,3,3.665191429,0.907
33,3,4.188790205,0.907
34,3,4.71238898,1.059
35,3,5.235987756,1.059
36,3,5.759586532,1.06
37,4,0,1.058
38,4,0.523598776,0.902
39,4,1.047197551,0.902
40,4,1.570796327,1.049
41,4,2.094395102,1.049
42,4,2.617993878,1.049
43,4,3.141592654,1.029
44,4,3.665191429,0.899
45,4,4.188790205,0.899
46,4,4.71238898,1.052
47,4,5.235987756,1.052
48,4,5.759586532,1.058
49,5,0,1.01
50,5,0.523598776,0.895
51,5,1.047197551,0.895
52,5,1.570796327,1.026
53,5,2.094395102,1.026
54,5,2.617993878,1.026
55,5,3.141592654,0.998
56,5,3.665191429,0.889
57,5,4.188790205,0.889
58,5,4.71238898,1.021
59,5,5.235987756,1.021
60,5,5.759586532,1.01
