Probe,Span,Theta (radians),Pressure (kPa)
1,0.447213595,0.261799388,1.045
2,0.447213595,0.785398163,1.04
3,0.447213595,1.308996939,1.025
4,0.447213595,1.832595715,1.065
5,0.447213595,2.35619449,1.03
6,0.447213595,2.879793266,1.045
7,0.447213595,3.403392041,0.93
8,0.447213595,3.926990817,0.93
9,0.447213595,4.450589593,0.925
10,0.447213595,4.974188368,0.94
11,0.447213595,5.497787144,0.925
12,0.447213595,6.021385919,0.94
13,0.632455532,0.261799388,1.06
14,0.632455532,0.785398163,1.07
15,0.632455532,1.308996939,1.06
16,0.632455532,1.832595715,1.06
17,0.632455532,2.35619449,1.075
18,0.632455532,2.879793266,1.07
19,0.632455532,3.403392041,0.94
20,0.632455532,3.926990817,0.945
21,0.632455532,4.450589593,0.945
22,0.632455532,4.974188368,0.94
23,0.632455532,5.497787144,0.96
24,0.632455532,6.021385919,0.94
25,0.774596669,0.261799388,1.06
26,0.774596669,0.785398163,1.06
27,0.774596669,1.308996939,1.075
28,0.774596669,1.832595715,1.04
29,0.774596669,2.35619449,1.07
30,0.774596669,2.879793266,1.06
31,0.774596669,3.403392041,0.94
32,0.774596669,3.926990817,0.95
33,0.774596669,4.450589593,0.94
34,0.774596669,4.974188368,0.95
35,0.774596669,5.497787144,0.95
36,0.774596669,6.021385919,0.95
37,0.894427191,0.261799388,1.04
38,0.894427191,0.785398163,1.065
39,0.894427191,1.308996939,1.07
40,0.894427191,1.832595715,1.075
41,0.894427191,2.35619449,1.06
42,0.894427191,2.879793266,1.04
43,0.894427191,3.403392041,0.95
44,0.894427191,3.926990817,0.94
45,0.894427191,4.450589593,0.95
46,0.894427191,4.974188368,0.95
47,0.894427191,5.497787144,0.935
48,0.894427191,6.021385919,0.935
49,1,0.261799388,1.03
50,1,0.785398163,1.055
51,1,1.308996939,1.06
52,1,1.832595715,1.06
53,1,2.35619449,1.045
54,1,2.879793266,1.055
55,1,3.403392041,0.96
56,1,3.926990817,0.935
57,1,4.450589593,0.97
58,1,4.974188368,0.945
59,1,5.497787144,0.935
60,1,6.021385919,0.95
