Probe,Span,Theta (radians),Pressure (kPa),Static Pressure (kPa),,Color,(Pinf-P)/qi,,Dark Blue,1.801,,1.945
0,0,0,0,,,White,0,,Light Blue,1.51,,1.655
,0.156,0,0,,,White,0,,Green,1.22,,1.365
,0.2615,0,0,,,White,0,,Yellow,0.94,,1.08
,0.367,0,0,,,White,0,,Orange,0.65,,0.795
,0.4725,0,0,,,White,0,,Red,0.36,,0.505
,0.578,0,0,,,White,0,,Pink,0.07,,0.215
,0.6835,0,0,,,White,0,,White,0,,0
,0.789,0,0,,,White,0,,,,,
,0.8945,0,0,,,White,0,,,,,
,1,0,0,,,White,0,,,,,
1,0,0.174532925,0,,,White,0,,,,,
,0.156,0.174532925,0,,,White,0,,,,,
,0.2615,0.174532925,0,,,White,0,,,,,
,0.367,0.174532925,0,,,White,0,,,,,
,0.4725,0.174532925,0,,,White,0,,,,,
,0.578,0.174532925,0,,,White,0,,,,,
,0.6835,0.174532925,0,,,White,0,,,,,
,0.789,0.174532925,0,,,White,0,,,,,
,0.8945,0.174532925,0,,,White,0,,,,,
,1,0.174532925,0,,,White,0,,,,,
2,0,0.34906585,0,,,White,0,,,,,
,0.156,0.34906585,0,,,White,0,,,,,
,0.2615,0.34906585,0,,,White,0,,,,,
,0.367,0.34906585,0,,,White,0,,,,,
,0.4725,0.34906585,0,,,White,0,,,,,
,0.578,0.34906585,0,,,White,0,,,,,
,0.6835,0.34906585,0,,,White,0,,,,,
,0.789,0.34906585,0,,,White,0,,,,,
,0.8945,0.34906585,0,,,White,0,,,,,
,1,0.34906585,0,,,White,0,,,,,
3,0,0.523598776,0,,,White,0,,,,,
,0.156,0.523598776,0,,,White,0,,,,,
,0.2615,0.523598776,0,,,White,0,,,,,
,0.367,0.523598776,0,,,White,0,,,,,
,0.4725,0.523598776,0,,,White,0,,,,,
,0.578,0.523598776,0,,,White,0,,,,,
,0.6835,0.523598776,0,,,White,0,,,,,
,0.789,0.523598776,0,,,White,0,,,,,
,0.8945,0.523598776,0,,,White,0,,,,,
,1,0.523598776,0.07,,,Pink,0.07,,,,,
4,0,0.698131701,0,,,White,0,,,,,
,0.156,0.698131701,0,,,White,0,,,,,
,0.2615,0.698131701,0,,,White,0,,,,,
,0.367,0.698131701,0,,,White,0,,,,,
,0.4725,0.698131701,0,,,White,0,,,,,
,0.578,0.698131701,0,,,White,0,,,,,
,0.6835,0.698131701,0,,,White,0,,,,,
,0.789,0.698131701,0,,,White,0,,,,,
,0.8945,0.698131701,0,,,White,0,,,,,
,1,0.698131701,0.36,,,Red,0.36,,,,,
5,0,0.872664626,0,,,White,0,,,,,
,0.156,0.872664626,0,,,White,0,,,,,
,0.2615,0.872664626,0,,,White,0,,,,,
,0.367,0.872664626,0,,,White,0,,,,,
,0.4725,0.872664626,0,,,White,0,,,,,
,0.578,0.872664626,0,,,White,0,,,,,
,0.6835,0.872664626,0,,,White,0,,,,,
,0.789,0.872664626,0,,,White,0,,,,,
,0.8945,0.872664626,0,,,White,0,,,,,
,1,0.872664626,0.36,,,Red,0.36,,,,,
6,0,1.047197551,0,,,White,0,,,,,
,0.156,1.047197551,0,,,White,0,,,,,
,0.2615,1.047197551,0,,,White,0,,,,,
,0.367,1.047197551,0,,,White,0,,,,,
,0.4725,1.047197551,0,,,White,0,,,,,
,0.578,1.047197551,0,,,White,0,,,,,
,0.6835,1.047197551,0,,,White,0,,,,,
,0.789,1.047197551,0.07,,,Pink,0.07,,,,,
,0.8945,1.047197551,0.36,,,Red,0.36,,,,,
,1,1.047197551,0.65,,,Orange,0.65,,,,,
7,0,1.221730476,0,,,White,0,,,,,
,0.156,1.221730476,0,,,White,0,,,,,
,0.2615,1.221730476,0,,,White,0,,,,,
,0.367,1.221730476,0,,,White,0,,,,,
,0.4725,1.221730476,0,,,White,0,,,,,
,0.578,1.221730476,0,,,White,0,,,,,
,0.6835,1.221730476,0.07,,,Pink,0.07,,,,,
,0.789,1.221730476,0.36,,,Red,0.36,,,,,
,0.8945,1.221730476,0.65,,,Orange,0.65,,,,,
,1,1.221730476,0.94,,,Yellow,0.94,,,,,
8,0,1.396263402,0,,,White,0,,,,,
,0.156,1.396263402,0,,,White,0,,,,,
,0.2615,1.396263402,0,,,White,0,,,,,
,0.367,1.396263402,0,,,White,0,,,,,
,0.4725,1.396263402,0,,,White,0,,,,,
,0.578,1.396263402,0,,,White,0,,,,,
,0.6835,1.396263402,0,,,White,0,,,,,
,0.789,1.396263402,0.07,,,Pink,0.07,,,,,
,0.8945,1.396263402,0.36,,,Red,0.36,,,,,
,1,1.396263402,0.65,,,Orange,0.65,,,,,
9,0,1.570796327,0,,,White,0,,,,,
,0.156,1.570796327,0,,,White,0,,,,,
,0.2615,1.570796327,0,,,White,0,,,,,
,0.367,1.570796327,0,,,White,0,,,,,
,0.4725,1.570796327,0,,,White,0,,,,,
,0.578,1.570796327,0,,,White,0,,,,,
,0.6835,1.570796327,0,,,White,0,,,,,
,0.789,1.570796327,0.07,,,Pink,0.07,,,,,
,0.8945,1.570796327,0.65,,,Orange,0.65,,,,,
,1,1.570796327,0.94,,,Yellow,0.94,,,,,
10,0,1.658062789,0,,,White,0,,,,,
,0.156,1.658062789,0,,,White,0,,,,,
,0.2615,1.658062789,0,,,White,0,,,,,
,0.367,1.658062789,0,,,White,0,,,,,
,0.4725,1.658062789,0,,,White,0,,,,,
,0.578,1.658062789,0,,,White,0,,,,,
,0.6835,1.658062789,0,,,White,0,,,,,
,0.789,1.658062789,0.07,,,Pink,0.07,,,,,
,0.8945,1.658062789,0.36,,,Red,0.36,,,,,
,1,1.658062789,0.65,,,Orange,0.65,,,,,
11,0,1.745329252,0,,,White,0,,,,,
,0.156,1.745329252,0,,,White,0,,,,,
,0.2615,1.745329252,0,,,White,0,,,,,
,0.367,1.745329252,0,,,White,0,,,,,
,0.4725,1.745329252,0,,,White,0,,,,,
,0.578,1.745329252,0,,,White,0,,,,,
,0.6835,1.745329252,0,,,White,0,,,,,
,0.789,1.745329252,0.07,,,Pink,0.07,,,,,
,0.8945,1.745329252,0.36,,,Red,0.36,,,,,
,1,1.745329252,0.65,,,Orange,0.65,,,,,
12,0,1.832595715,0,,,White,0,,,,,
,0.156,1.832595715,0,,,White,0,,,,,
,0.2615,1.832595715,0,,,White,0,,,,,
,0.367,1.832595715,0,,,White,0,,,,,
,0.4725,1.832595715,0,,,White,0,,,,,
,0.578,1.832595715,0,,,White,0,,,,,
,0.6835,1.832595715,0,,,White,0,,,,,
,0.789,1.832595715,0.07,,,Pink,0.07,,,,,
,0.8945,1.832595715,0.36,,,Red,0.36,,,,,
,1,1.832595715,0.36,,,Red,0.36,,,,,
13,0,1.919862177,0,,,White,0,,,,,
,0.156,1.919862177,0,,,White,0,,,,,
,0.2615,1.919862177,0,,,White,0,,,,,
,0.367,1.919862177,0,,,White,0,,,,,
,0.4725,1.919862177,0,,,White,0,,,,,
,0.578,1.919862177,0,,,White,0,,,,,
,0.6835,1.919862177,0,,,White,0,,,,,
,0.789,1.919862177,0,,,White,0,,,,,
,0.8945,1.919862177,0.07,,,Pink,0.07,,,,,
,1,1.919862177,0.36,,,Red,0.36,,,,,
14,0,2.00712864,0,,,White,0,,,,,
,0.156,2.00712864,0,,,White,0,,,,,
,0.2615,2.00712864,0,,,White,0,,,,,
,0.367,2.00712864,0,,,White,0,,,,,
,0.4725,2.00712864,0,,,White,0,,,,,
,0.578,2.00712864,0,,,White,0,,,,,
,0.6835,2.00712864,0,,,White,0,,,,,
,0.789,2.00712864,0,,,White,0,,,,,
,0.8945,2.00712864,0,,,White,0,,,,,
,1,2.00712864,0.07,,,Pink,0.07,,,,,
15,0,2.094395102,0,,,White,0,,,,,
,0.156,2.094395102,0,,,White,0,,,,,
,0.2615,2.094395102,0,,,White,0,,,,,
,0.367,2.094395102,0,,,White,0,,,,,
,0.4725,2.094395102,0,,,White,0,,,,,
,0.578,2.094395102,0,,,White,0,,,,,
,0.6835,2.094395102,0,,,White,0,,,,,
,0.789,2.094395102,0,,,White,0,,,,,
,0.8945,2.094395102,0.36,,,Red,0.36,,,,,
,1,2.094395102,0,,,White,0,,,,,
16,0,2.181661565,0,,,White,0,,,,,
,0.156,2.181661565,0,,,White,0,,,,,
,0.2615,2.181661565,0,,,White,0,,,,,
,0.367,2.181661565,0,,,White,0,,,,,
,0.4725,2.181661565,0,,,White,0,,,,,
,0.578,2.181661565,0,,,White,0,,,,,
,0.6835,2.181661565,0,,,White,0,,,,,
,0.789,2.181661565,0,,,White,0,,,,,
,0.8945,2.181661565,0,,,White,0,,,,,
,1,2.181661565,0.07,,,Pink,0.07,,,,,
17,0,2.268928028,0,,,White,0,,,,,
,0.156,2.268928028,0,,,White,0,,,,,
,0.2615,2.268928028,0,,,White,0,,,,,
,0.367,2.268928028,0,,,White,0,,,,,
,0.4725,2.268928028,0,,,White,0,,,,,
,0.578,2.268928028,0,,,White,0,,,,,
,0.6835,2.268928028,0,,,White,0,,,,,
,0.789,2.268928028,0,,,White,0,,,,,
,0.8945,2.268928028,0,,,White,0,,,,,
,1,2.268928028,0.07,,,Pink,0.07,,,,,
18,0,2.35619449,0,,,White,0,,,,,
,0.156,2.35619449,0,,,White,0,,,,,
,0.2615,2.35619449,0,,,White,0,,,,,
,0.367,2.35619449,0,,,White,0,,,,,
,0.4725,2.35619449,0,,,White,0,,,,,
,0.578,2.35619449,0,,,White,0,,,,,
